"sex","age","month","unemployed"
"men","total 15-74 years","2001M01",6.8
"men","total 15-74 years","2001M02",6.4
"men","total 15-74 years","2001M03",6.7
"men","total 15-74 years","2001M04",6.0
"men","total 15-74 years","2001M05",6.3
"men","total 15-74 years","2001M06",7.2
"men","total 15-74 years","2001M07",5.7
"men","total 15-74 years","2001M08",5.5
"men","total 15-74 years","2001M09",5.6
"men","total 15-74 years","2001M10",5.8
"men","total 15-74 years","2001M11",5.6
"men","total 15-74 years","2001M12",5.9
"men","total 15-74 years","2002M01",6.7
"men","total 15-74 years","2002M02",6.7
"men","total 15-74 years","2002M03",6.8
"men","total 15-74 years","2002M04",6.4
"men","total 15-74 years","2002M05",6.3
"men","total 15-74 years","2002M06",7.1
"men","total 15-74 years","2002M07",5.7
"men","total 15-74 years","2002M08",5.8
"men","total 15-74 years","2002M09",6.1
"men","total 15-74 years","2002M10",5.7
"men","total 15-74 years","2002M11",6.1
"men","total 15-74 years","2002M12",6.7
"men","total 15-74 years","2003M01",7.1
"men","total 15-74 years","2003M02",6.8
"men","total 15-74 years","2003M03",7.3
"men","total 15-74 years","2003M04",7.1
"men","total 15-74 years","2003M05",7.0
"men","total 15-74 years","2003M06",8.1
"men","total 15-74 years","2003M07",6.3
"men","total 15-74 years","2003M08",7.0
"men","total 15-74 years","2003M09",6.3
"men","total 15-74 years","2003M10",6.3
"men","total 15-74 years","2003M11",7.5
"men","total 15-74 years","2003M12",7.4
"men","total 15-74 years","2004M01",7.9
"men","total 15-74 years","2004M02",8.6
"men","total 15-74 years","2004M03",8.5
"men","total 15-74 years","2004M04",7.9
"men","total 15-74 years","2004M05",8.3
"men","total 15-74 years","2004M06",8.9
"men","total 15-74 years","2004M07",6.7
"men","total 15-74 years","2004M08",7.1
"men","total 15-74 years","2004M09",7.2
"men","total 15-74 years","2004M10",6.4
"men","total 15-74 years","2004M11",7.2
"men","total 15-74 years","2004M12",7.4
"men","total 15-74 years","2005M01",8.8
"men","total 15-74 years","2005M02",8.6
"men","total 15-74 years","2005M03",8.4
"men","total 15-74 years","2005M04",8.5
"men","total 15-74 years","2005M05",8.3
"men","total 15-74 years","2005M06",9.3
"men","total 15-74 years","2005M07",7.4
"men","total 15-74 years","2005M08",7.0
"men","total 15-74 years","2005M09",7.5
"men","total 15-74 years","2005M10",7.2
"men","total 15-74 years","2005M11",6.3
"men","total 15-74 years","2005M12",7.6
"men","total 15-74 years","2006M01",8.1
"men","total 15-74 years","2006M02",7.1
"men","total 15-74 years","2006M03",8.0
"men","total 15-74 years","2006M04",8.2
"men","total 15-74 years","2006M05",7.1
"men","total 15-74 years","2006M06",8.0
"men","total 15-74 years","2006M07",6.5
"men","total 15-74 years","2006M08",6.0
"men","total 15-74 years","2006M09",6.0
"men","total 15-74 years","2006M10",6.1
"men","total 15-74 years","2006M11",5.9
"men","total 15-74 years","2006M12",6.3
"men","total 15-74 years","2007M01",6.7
"men","total 15-74 years","2007M02",6.4
"men","total 15-74 years","2007M03",7.5
"men","total 15-74 years","2007M04",6.0
"men","total 15-74 years","2007M05",6.0
"men","total 15-74 years","2007M06",7.1
"men","total 15-74 years","2007M07",5.0
"men","total 15-74 years","2007M08",5.1
"men","total 15-74 years","2007M09",5.5
"men","total 15-74 years","2007M10",5.5
"men","total 15-74 years","2007M11",5.2
"men","total 15-74 years","2007M12",4.9
"men","total 15-74 years","2008M01",5.9
"men","total 15-74 years","2008M02",5.7
"men","total 15-74 years","2008M03",6.3
"men","total 15-74 years","2008M04",6.3
"men","total 15-74 years","2008M05",5.8
"men","total 15-74 years","2008M06",7.3
"men","total 15-74 years","2008M07",5.5
"men","total 15-74 years","2008M08",4.9
"men","total 15-74 years","2008M09",5.5
"men","total 15-74 years","2008M10",5.4
"men","total 15-74 years","2008M11",6.0
"men","total 15-74 years","2008M12",6.6
"men","total 15-74 years","2009M01",7.5
"men","total 15-74 years","2009M02",8.1
"men","total 15-74 years","2009M03",8.6
"men","total 15-74 years","2009M04",8.9
"men","total 15-74 years","2009M05",9.4
"men","total 15-74 years","2009M06",10.1
"men","total 15-74 years","2009M07",8.6
"men","total 15-74 years","2009M08",8.4
"men","total 15-74 years","2009M09",8.5
"men","total 15-74 years","2009M10",8.4
"men","total 15-74 years","2009M11",8.6
"men","total 15-74 years","2009M12",9.0
"men","total 15-74 years","2010M01",9.8
"men","total 15-74 years","2010M02",9.4
"men","total 15-74 years","2010M03",9.8
"men","total 15-74 years","2010M04",9.6
"men","total 15-74 years","2010M05",9.3
"men","total 15-74 years","2010M06",9.8
"men","total 15-74 years","2010M07",8.2
"men","total 15-74 years","2010M08",7.6
"men","total 15-74 years","2010M09",8.2
"men","total 15-74 years","2010M10",7.6
"men","total 15-74 years","2010M11",7.7
"men","total 15-74 years","2010M12",7.6
"men","total 15-74 years","2011M01",8.6
"men","total 15-74 years","2011M02",8.3
"men","total 15-74 years","2011M03",8.1
"men","total 15-74 years","2011M04",8.0
"men","total 15-74 years","2011M05",8.4
"men","total 15-74 years","2011M06",9.1
"men","total 15-74 years","2011M07",7.5
"men","total 15-74 years","2011M08",6.9
"men","total 15-74 years","2011M09",7.1
"men","total 15-74 years","2011M10",7.5
"men","total 15-74 years","2011M11",7.2
"men","total 15-74 years","2011M12",7.6
"men","total 15-74 years","2012M01",8.7
"men","total 15-74 years","2012M02",8.5
"men","total 15-74 years","2012M03",8.4
"men","total 15-74 years","2012M04",8.1
"men","total 15-74 years","2012M05",8.9
"men","total 15-74 years","2012M06",9.2
"men","total 15-74 years","2012M07",8.1
"men","total 15-74 years","2012M08",7.8
"men","total 15-74 years","2012M09",7.5
"men","total 15-74 years","2012M10",7.9
"men","total 15-74 years","2012M11",8.0
"men","total 15-74 years","2012M12",7.9
"men","total 15-74 years","2013M01",8.9
"men","total 15-74 years","2013M02",8.9
"men","total 15-74 years","2013M03",8.9
"men","total 15-74 years","2013M04",9.3
"men","total 15-74 years","2013M05",8.6
"men","total 15-74 years","2013M06",9.4
"men","total 15-74 years","2013M07",7.7
"men","total 15-74 years","2013M08",7.4
"men","total 15-74 years","2013M09",6.9
"men","total 15-74 years","2013M10",7.5
"men","total 15-74 years","2013M11",8.0
"men","total 15-74 years","2013M12",7.7
"men","total 15-74 years","2014M01",9.1
"men","total 15-74 years","2014M02",8.9
"men","total 15-74 years","2014M03",8.9
"men","total 15-74 years","2014M04",8.5
"men","total 15-74 years","2014M05",8.5
"men","total 15-74 years","2014M06",9.7
"men","total 15-74 years","2014M07",7.4
"men","total 15-74 years","2014M08",7.6
"men","total 15-74 years","2014M09",7.4
"men","total 15-74 years","2014M10",7.5
"men","total 15-74 years","2014M11",7.6
"men","total 15-74 years","2014M12",7.6
"men","total 15-74 years","2015M01",8.5
"men","total 15-74 years","2015M02",8.7
"men","total 15-74 years","2015M03",8.3
"men","total 15-74 years","2015M04",8.5
"men","total 15-74 years","2015M05",8.2
"men","total 15-74 years","2015M06",8.5
"men","total 15-74 years","2015M07",6.7
"men","total 15-74 years","2015M08",6.7
"men","total 15-74 years","2015M09",6.9
"men","total 15-74 years","2015M10",6.5
"men","total 15-74 years","2015M11",6.5
"men","total 15-74 years","2015M12",7.2
"men","total 15-74 years","2016M01",7.9
"men","total 15-74 years","2016M02",8.2
"men","total 15-74 years","2016M03",8.7
"men","total 15-74 years","2016M04",7.6
"men","total 15-74 years","2016M05",7.8
"men","total 15-74 years","2016M06",8.4
"men","total 15-74 years","2016M07",6.7
"men","total 15-74 years","2016M08",6.6
"men","total 15-74 years","2016M09",6.6
"men","total 15-74 years","2016M10",6.7
"men","total 15-74 years","2016M11",6.4
"men","total 15-74 years","2016M12",7.1
"men","total 15-74 years","2017M01",7.8
"men","total 15-74 years","2017M02",8.1
"men","total 15-74 years","2017M03",7.3
"men","total 15-74 years","2017M04",7.7
"men","total 15-74 years","2017M05",7.5
"men","total 15-74 years","2017M06",7.7
"men","total 15-74 years","2017M07",6.7
"men","total 15-74 years","2017M08",6.3
"men","total 15-74 years","2017M09",6.3
"men","total 15-74 years","2017M10",6.6
"men","total 15-74 years","2017M11",6.0
"men","total 15-74 years","2017M12",6.1
"men","total 15-74 years","2018M01",7.2
"men","total 15-74 years","2018M02",6.9
"men","total 15-74 years","2018M03",6.6
"men","total 15-74 years","2018M04",7.1
"men","total 15-74 years","2018M05",7.3
"men","total 15-74 years","2018M06",7.0
"men","total 15-74 years","2018M07",6.2
"men","total 15-74 years","2018M08",6.4
"men","total 15-74 years","2018M09",5.4
"men","total 15-74 years","2018M10",6.2
"men","total 15-74 years","2018M11",5.9
"men","total 15-74 years","2018M12",6.2
"men","total 15-74 years","2019M01",6.3
"men","total 15-74 years","2019M02",7.7
"men","total 15-74 years","2019M03",7.7
"men","total 15-74 years","2019M04",6.6
"men","total 15-74 years","2019M05",7.1
"men","total 15-74 years","2019M06",7.2
"men","total 15-74 years","2019M07",6.7
"men","total 15-74 years","2019M08",6.4
"men","total 15-74 years","2019M09",6.0
"men","total 15-74 years","2019M10",6.1
"men","total 15-74 years","2019M11",6.7
"men","total 15-74 years","2019M12",6.2
"men","total 15-74 years","2020M01",8.1
"men","total 15-74 years","2020M02",8.2
"men","total 15-74 years","2020M03",7.2
"men","total 15-74 years","2020M04",8.8
"men","total 15-74 years","2020M05",8.8
"men","total 15-74 years","2020M06",10.1
"men","total 15-74 years","2020M07",9.3
"men","total 15-74 years","2020M08",8.1
"men","total 15-74 years","2020M09",8.8
"men","total 15-74 years","2020M10",8.2
"men","total 15-74 years","2020M11",7.7
"men","total 15-74 years","2020M12",8.4
"men","total 15-74 years","2021M01",9.3
"men","total 15-74 years","2021M02",9.2
"men","total 15-74 years","2021M03",10.2
"men","total 15-74 years","2021M04",9.4
"men","total 15-74 years","2021M05",9.7
"men","total 15-74 years","2021M06",10.2
"men","total 15-74 years","2021M07",7.6
"men","total 15-74 years","2021M08",8.7
"men","total 15-74 years","2021M09",7.5
"men","total 15-74 years","2021M10",7.2
"men","total 15-74 years","2021M11",7.4
"men","total 15-74 years","2021M12",6.8
"men","total 15-74 years","2022M01",7.5
"men","total 15-74 years","2022M02",8.1
"men","total 15-74 years","2022M03",7.4
"men","total 15-74 years","2022M04",7.4
"men","total 15-74 years","2022M05",9.2
"men","total 15-74 years","2022M06",7.7
"men","total 15-74 years","2022M07",5.6
"men","total 15-74 years","2022M08",6.6
"men","total 15-74 years","2022M09",6.1
"men","total 15-74 years","2022M10",6.8
"men","total 15-74 years","2022M11",6.2
"men","total 15-74 years","2022M12",6.6
"men","total 15-74 years","2023M01",7.3
"men","total 15-74 years","2023M02",8.2
"men","total 15-74 years","2023M03",7.7
"men","total 15-74 years","2023M04",7.5
"men","total 15-74 years","2023M05",8.5
"men","total 15-74 years","2023M06",9.1
"men","total 15-74 years","2023M07",5.7
"men","total 15-74 years","2023M08",7.3
"men","total 15-74 years","2023M09",6.8
"men","total 15-74 years","2023M10",7.4
"women","total 15-74 years","2001M01",6.5
"women","total 15-74 years","2001M02",6.0
"women","total 15-74 years","2001M03",5.8
"women","total 15-74 years","2001M04",5.8
"women","total 15-74 years","2001M05",5.9
"women","total 15-74 years","2001M06",6.7
"women","total 15-74 years","2001M07",5.5
"women","total 15-74 years","2001M08",5.5
"women","total 15-74 years","2001M09",5.5
"women","total 15-74 years","2001M10",5.7
"women","total 15-74 years","2001M11",5.3
"women","total 15-74 years","2001M12",5.4
"women","total 15-74 years","2002M01",6.1
"women","total 15-74 years","2002M02",5.7
"women","total 15-74 years","2002M03",5.9
"women","total 15-74 years","2002M04",6.0
"women","total 15-74 years","2002M05",6.1
"women","total 15-74 years","2002M06",6.7
"women","total 15-74 years","2002M07",5.9
"women","total 15-74 years","2002M08",5.2
"women","total 15-74 years","2002M09",5.6
"women","total 15-74 years","2002M10",5.4
"women","total 15-74 years","2002M11",5.5
"women","total 15-74 years","2002M12",5.4
"women","total 15-74 years","2003M01",6.8
"women","total 15-74 years","2003M02",6.0
"women","total 15-74 years","2003M03",6.3
"women","total 15-74 years","2003M04",6.2
"women","total 15-74 years","2003M05",6.4
"women","total 15-74 years","2003M06",7.3
"women","total 15-74 years","2003M07",6.1
"women","total 15-74 years","2003M08",6.0
"women","total 15-74 years","2003M09",6.2
"women","total 15-74 years","2003M10",6.5
"women","total 15-74 years","2003M11",6.2
"women","total 15-74 years","2003M12",6.2
"women","total 15-74 years","2004M01",7.2
"women","total 15-74 years","2004M02",7.2
"women","total 15-74 years","2004M03",7.4
"women","total 15-74 years","2004M04",7.1
"women","total 15-74 years","2004M05",7.7
"women","total 15-74 years","2004M06",8.7
"women","total 15-74 years","2004M07",7.0
"women","total 15-74 years","2004M08",6.7
"women","total 15-74 years","2004M09",7.7
"women","total 15-74 years","2004M10",7.0
"women","total 15-74 years","2004M11",7.0
"women","total 15-74 years","2004M12",7.2
"women","total 15-74 years","2005M01",8.2
"women","total 15-74 years","2005M02",8.7
"women","total 15-74 years","2005M03",7.5
"women","total 15-74 years","2005M04",7.5
"women","total 15-74 years","2005M05",8.4
"women","total 15-74 years","2005M06",10.0
"women","total 15-74 years","2005M07",8.0
"women","total 15-74 years","2005M08",7.7
"women","total 15-74 years","2005M09",6.6
"women","total 15-74 years","2005M10",7.9
"women","total 15-74 years","2005M11",7.1
"women","total 15-74 years","2005M12",7.4
"women","total 15-74 years","2006M01",8.9
"women","total 15-74 years","2006M02",7.9
"women","total 15-74 years","2006M03",8.1
"women","total 15-74 years","2006M04",8.3
"women","total 15-74 years","2006M05",8.0
"women","total 15-74 years","2006M06",9.2
"women","total 15-74 years","2006M07",6.8
"women","total 15-74 years","2006M08",7.0
"women","total 15-74 years","2006M09",6.4
"women","total 15-74 years","2006M10",6.2
"women","total 15-74 years","2006M11",6.1
"women","total 15-74 years","2006M12",6.1
"women","total 15-74 years","2007M01",7.4
"women","total 15-74 years","2007M02",6.7
"women","total 15-74 years","2007M03",6.6
"women","total 15-74 years","2007M04",7.3
"women","total 15-74 years","2007M05",6.3
"women","total 15-74 years","2007M06",8.7
"women","total 15-74 years","2007M07",6.0
"women","total 15-74 years","2007M08",5.8
"women","total 15-74 years","2007M09",6.0
"women","total 15-74 years","2007M10",6.0
"women","total 15-74 years","2007M11",5.5
"women","total 15-74 years","2007M12",6.6
"women","total 15-74 years","2008M01",7.1
"women","total 15-74 years","2008M02",6.6
"women","total 15-74 years","2008M03",6.5
"women","total 15-74 years","2008M04",6.0
"women","total 15-74 years","2008M05",6.3
"women","total 15-74 years","2008M06",9.3
"women","total 15-74 years","2008M07",6.3
"women","total 15-74 years","2008M08",5.6
"women","total 15-74 years","2008M09",6.6
"women","total 15-74 years","2008M10",6.4
"women","total 15-74 years","2008M11",6.8
"women","total 15-74 years","2008M12",6.4
"women","total 15-74 years","2009M01",7.2
"women","total 15-74 years","2009M02",8.1
"women","total 15-74 years","2009M03",8.2
"women","total 15-74 years","2009M04",7.8
"women","total 15-74 years","2009M05",9.0
"women","total 15-74 years","2009M06",9.8
"women","total 15-74 years","2009M07",7.3
"women","total 15-74 years","2009M08",7.7
"women","total 15-74 years","2009M09",8.3
"women","total 15-74 years","2009M10",8.1
"women","total 15-74 years","2009M11",7.7
"women","total 15-74 years","2009M12",8.3
"women","total 15-74 years","2010M01",9.5
"women","total 15-74 years","2010M02",9.4
"women","total 15-74 years","2010M03",9.1
"women","total 15-74 years","2010M04",10.1
"women","total 15-74 years","2010M05",9.0
"women","total 15-74 years","2010M06",9.6
"women","total 15-74 years","2010M07",8.5
"women","total 15-74 years","2010M08",7.9
"women","total 15-74 years","2010M09",7.9
"women","total 15-74 years","2010M10",8.0
"women","total 15-74 years","2010M11",7.3
"women","total 15-74 years","2010M12",7.8
"women","total 15-74 years","2011M01",8.5
"women","total 15-74 years","2011M02",8.3
"women","total 15-74 years","2011M03",8.9
"women","total 15-74 years","2011M04",8.5
"women","total 15-74 years","2011M05",7.9
"women","total 15-74 years","2011M06",9.4
"women","total 15-74 years","2011M07",7.0
"women","total 15-74 years","2011M08",7.3
"women","total 15-74 years","2011M09",7.1
"women","total 15-74 years","2011M10",7.2
"women","total 15-74 years","2011M11",7.1
"women","total 15-74 years","2011M12",7.2
"women","total 15-74 years","2012M01",8.3
"women","total 15-74 years","2012M02",8.1
"women","total 15-74 years","2012M03",7.7
"women","total 15-74 years","2012M04",8.2
"women","total 15-74 years","2012M05",8.4
"women","total 15-74 years","2012M06",9.0
"women","total 15-74 years","2012M07",6.8
"women","total 15-74 years","2012M08",7.4
"women","total 15-74 years","2012M09",7.8
"women","total 15-74 years","2012M10",7.2
"women","total 15-74 years","2012M11",7.8
